"","BusinessID","Name","City","State","Stars","Review.Count","Latitude","Longitude","Category1","Category2","Category3","Category4","Category5","Category6","Category7","Category8","Category9"
"1","mVHrayjG3uZ_RLHkLj-AMg","Emil's Lounge","Braddock","PA",4.5,26,40.4088301,-79.8662107,"Bars","American (New)","Nightlife","Lounges","Restaurants",NA,NA,NA,NA
"2","KayYbHCt-RkbGcPdGOThNg","Alexion's Bar & Grill","Carnegie","PA",4,23,40.4154859,-80.0675491,"Bars","American (Traditional)","Nightlife","Restaurants",NA,NA,NA,NA,NA
"3","b9WZJp5L1RZr4F1nxclOoQ","Gab & Eat","Carnegie","PA",4.5,69,40.3980013,-80.0834577,"Breakfast & Brunch","Sandwiches","Restaurants",NA,NA,NA,NA,NA,NA
"4","wqu7ILomIOPSduRwoWp4AQ","Denny's","Pittsburgh","PA",3.5,16,40.39114,-80.073788,"Breakfast & Brunch","American (Traditional)","Diners","Restaurants",NA,NA,NA,NA,NA
"5","P1fJb2WQ1mXoiudj8UE44w","Papa J's","Carnegie","PA",3.5,81,40.4081527,-80.085153,"Restaurants","Italian",NA,NA,NA,NA,NA,NA,NA
"6","PK6aSizckHFWk8i0oxt5DA","McDonald's","Homestead","PA",2,12,40.412012,-79.9098858,"Burgers","Fast Food","Restaurants",NA,NA,NA,NA,NA,NA
"7","6ilJq_05xRgek_8qUp36-g","Steak 'n Shake","Munhall","PA",2,60,40.413496,-79.9044562,"Burgers","Fast Food","Restaurants",NA,NA,NA,NA,NA,NA
"8","1qCuOcks5HRv67OHovAVpg","Duke's Upper Deck Cafe","Homestead","PA",3.5,33,40.405311,-79.912595,"Pubs","Bars","American (New)","Nightlife","Restaurants",NA,NA,NA,NA
"9","sbW8qHJgzEIH42B0S-3New","Dave & Buster's","Homestead","PA",2.5,106,40.4092932,-79.9141865,"Arts & Entertainment","American (Traditional)","Bars","Pubs","Arcades","Nightlife","Restaurants",NA,NA
"10","McikHxxEqZ2X0joaRNKlaw","Rock Bottom","Homestead","PA",3.5,148,40.4094353,-79.9152619,"Food","American (Traditional)","Breweries","Restaurants",NA,NA,NA,NA,NA
"11","EoAY1JSVeJriBzId8lUQwQ","Bar Louie","West Homestead","PA",2.5,92,40.4070737196062,-79.9173143507142,"Bars","American (New)","Nightlife","Restaurants",NA,NA,NA,NA,NA
"12","tU-YtoW339PXJmUGSix_AQ","TGI Fridays","Homestead","PA",2.5,23,40.4108743190118,-79.9155451418884,"Bars","American (Traditional)","Nightlife","Restaurants",NA,NA,NA,NA,NA
"13","6p9TlP2I8S4agxYMNFSDjg","Uno Pizzeria & Grill","Homestead","PA",3,55,40.410967,-79.9141364,"American (Traditional)","Pizza","Gluten-Free","Restaurants",NA,NA,NA,NA,NA
"14","JDDeaNfb0JXD1NbznSIC9g","P.F. Chang's","Homestead","PA",3,95,40.407143,-79.916091,"Gluten-Free","Asian Fusion","Chinese","Restaurants",NA,NA,NA,NA,NA
"15","FiXamVMgMf9U0VqFHDZSEA","Panera Bread","West Homestead","PA",3,25,40.407174,-79.916603,"Soup","Sandwiches","Salad","Restaurants",NA,NA,NA,NA,NA
"16","uLnDFdn011hEroQQMLmxNQ","The Pizza Company","Munhall","PA",4,12,40.3857182,-79.9032997,"Pizza","Restaurants",NA,NA,NA,NA,NA,NA,NA
"17","eznh0XjVtv924K-KYx_ilQ","Eat'n Park","Homestead","PA",3,51,40.4113236,-79.9132525,"American (Traditional)","Diners","Restaurants",NA,NA,NA,NA,NA,NA
"18","usSROUMiAgPcxV3Ym0OxMQ","Mitchell's Fish Market","Homestead","PA",3.5,122,40.4089628543918,-79.9180766055519,"Seafood","American (Traditional)","Restaurants",NA,NA,NA,NA,NA,NA
"19","r8BwdblCW-ZUES37BL0khw","Broadway Brunch","McKees Rocks","PA",4.5,21,40.472505,-80.074153,"Burgers","Breakfast & Brunch","Diners","Restaurants",NA,NA,NA,NA,NA
"20","mIiHJkpK8nZvW_45LlhrbA","Pasquarelli's Pizza House","Mc Kees Rocks","PA",4,13,40.4660004,-80.0653115,"Pizza","Restaurants",NA,NA,NA,NA,NA,NA,NA
"21","T49ZvBa6mD4xHSmjHe-ArA","R & B's Pizza Place","Bellvue","PA",4,17,40.4941577,-80.0532928,"Pizza","Restaurants",NA,NA,NA,NA,NA,NA,NA
"22","eOv0Dbq2E8sd0CKMAqTImw","Luigi's Pizzeria","Bellevue","PA",4,18,40.495887,-80.056877,"Pizza","Restaurants",NA,NA,NA,NA,NA,NA,NA
"23","Lml0-yTNsMYsP9IrSMxw9A","China Sea Chinese Restaurant","Bellevue","PA",2.5,11,40.4972056,-80.0583585,"Chinese","Restaurants",NA,NA,NA,NA,NA,NA,NA
"24","ucKQlQvOeJxETLNkpKcaSw","Rusty Nail","Bellevue","PA",3.5,32,40.4966408,-80.057381,"American (Traditional)","Restaurants",NA,NA,NA,NA,NA,NA,NA
"25","ZL6DNzyenFm9Kpz6uADlNg","Pino's Contemporary Italian Restaurant & Wine Bar","Pittsburgh","PA",3,65,40.450249,-79.9145,"Tapas/Small Plates","Restaurants","Italian",NA,NA,NA,NA,NA,NA
